year,period,periodName,value,seriesId
2023,M05,May,0.219,APUS12A72610
2023,M04,April,0.216,APUS12A72610
2023,M03,March,0.223,APUS12A72610
2023,M02,February,0.237,APUS12A72610
2023,M01,January,0.243,APUS12A72610
2022,M12,December,0.231,APUS12A72610
2022,M11,November,0.232,APUS12A72610
2022,M10,October,0.235,APUS12A72610
2022,M09,September,0.245,APUS12A72610
2022,M08,August,0.249,APUS12A72610
2022,M07,July,0.232,APUS12A72610
2022,M06,June,0.248,APUS12A72610
2022,M05,May,0.241,APUS12A72610
2022,M04,April,0.235,APUS12A72610
2022,M03,March,0.225,APUS12A72610
2022,M02,February,0.196,APUS12A72610
2022,M01,January,0.256,APUS12A72610
2021,M12,December,0.200,APUS12A72610
2021,M11,November,0.207,APUS12A72610
2021,M10,October,0.214,APUS12A72610
2021,M09,September,0.222,APUS12A72610
2021,M08,August,0.226,APUS12A72610
2021,M07,July,0.216,APUS12A72610
2021,M06,June,0.222,APUS12A72610
2021,M05,May,0.214,APUS12A72610
2021,M04,April,0.208,APUS12A72610
2021,M03,March,0.188,APUS12A72610
2021,M02,February,0.219,APUS12A72610
2021,M01,January,0.213,APUS12A72610
2020,M12,December,0.211,APUS12A72610
2020,M11,November,0.201,APUS12A72610
2020,M10,October,0.202,APUS12A72610
2020,M09,September,0.211,APUS12A72610
2020,M08,August,0.209,APUS12A72610
2020,M07,July,0.218,APUS12A72610
2020,M06,June,0.223,APUS12A72610
2020,M05,May,0.199,APUS12A72610
2020,M04,April,0.195,APUS12A72610
2020,M03,March,0.198,APUS12A72610
2020,M02,February,0.201,APUS12A72610
2020,M01,January,0.199,APUS12A72610
2019,M12,December,0.193,APUS12A72610
2019,M11,November,0.197,APUS12A72610
2019,M10,October,0.194,APUS12A72610
2019,M09,September,0.205,APUS12A72610
2019,M08,August,0.202,APUS12A72610
2019,M07,July,0.207,APUS12A72610
2019,M06,June,0.211,APUS12A72610
2019,M05,May,0.194,APUS12A72610
2019,M04,April,0.197,APUS12A72610
2019,M03,March,0.201,APUS12A72610
2019,M02,February,0.196,APUS12A72610
2019,M01,January,0.202,APUS12A72610
2018,M12,December,0.193,APUS12A72610
2018,M11,November,0.194,APUS12A72610
2018,M10,October,0.206,APUS12A72610
2018,M09,September,0.212,APUS12A72610
2018,M08,August,0.208,APUS12A72610
2018,M07,July,0.216,APUS12A72610
2018,M06,June,0.217,APUS12A72610
2018,M05,May,0.210,APUS12A72610
2018,M04,April,0.203,APUS12A72610
2018,M03,March,0.206,APUS12A72610
2018,M02,February,0.198,APUS12A72610
2018,M01,January,0.202,APUS12A72610
2017,M12,December,0.208,APUS12A72610
2017,M11,November,0.200,APUS12A72610
2017,M10,October,0.190,APUS12A72610
2017,M09,September,0.203,APUS12A72610
2017,M08,August,0.201,APUS12A72610
2017,M07,July,0.205,APUS12A72610
2017,M06,June,0.208,APUS12A72610
2017,M05,May,0.202,APUS12A72610
2017,M04,April,0.189,APUS12A72610
2017,M03,March,0.192,APUS12A72610
2017,M02,February,0.194,APUS12A72610
2017,M01,January,0.189,APUS12A72610
2016,M12,December,0.192,APUS12A72610
2016,M11,November,0.178,APUS12A72610
2016,M10,October,0.179,APUS12A72610
2016,M09,September,0.191,APUS12A72610
2016,M08,August,0.191,APUS12A72610
2016,M07,July,0.191,APUS12A72610
2016,M06,June,0.190,APUS12A72610
2016,M05,May,0.177,APUS12A72610
2016,M04,April,0.188,APUS12A72610
2016,M03,March,0.187,APUS12A72610
2016,M02,February,0.182,APUS12A72610
2016,M01,January,0.186,APUS12A72610
2015,M12,December,0.182,APUS12A72610
2015,M11,November,0.186,APUS12A72610
2015,M10,October,0.185,APUS12A72610
2015,M09,September,0.195,APUS12A72610
2015,M08,August,0.198,APUS12A72610
2015,M07,July,0.201,APUS12A72610
2015,M06,June,0.207,APUS12A72610
2015,M05,May,0.192,APUS12A72610
2015,M04,April,0.197,APUS12A72610
2015,M03,March,0.195,APUS12A72610
2015,M02,February,0.220,APUS12A72610
2015,M01,January,0.208,APUS12A72610
2014,M12,December,0.195,APUS12A72610
2014,M11,November,0.198,APUS12A72610
2014,M10,October,0.194,APUS12A72610
2014,M09,September,0.199,APUS12A72610
2014,M08,August,0.204,APUS12A72610
2014,M07,July,0.208,APUS12A72610
2014,M06,June,0.211,APUS12A72610
2014,M05,May,0.205,APUS12A72610
2014,M04,April,0.196,APUS12A72610
2014,M03,March,0.213,APUS12A72610
2014,M02,February,0.207,APUS12A72610
2014,M01,January,0.232,APUS12A72610
2013,M12,December,0.196,APUS12A72610
2013,M11,November,0.191,APUS12A72610
2013,M10,October,0.188,APUS12A72610
2013,M09,September,0.213,APUS12A72610
2013,M08,August,0.197,APUS12A72610
2013,M07,July,0.208,APUS12A72610
2013,M06,June,0.203,APUS12A72610
2013,M05,May,0.193,APUS12A72610
2013,M04,April,0.186,APUS12A72610
2013,M03,March,0.188,APUS12A72610
2013,M02,February,0.196,APUS12A72610
2013,M01,January,0.202,APUS12A72610
2012,M12,December,0.183,APUS12A72610
2012,M11,November,0.188,APUS12A72610
2012,M10,October,0.186,APUS12A72610
2012,M09,September,0.201,APUS12A72610
2012,M08,August,0.194,APUS12A72610
2012,M07,July,0.198,APUS12A72610
2012,M06,June,0.203,APUS12A72610
2012,M05,May,0.191,APUS12A72610
2012,M04,April,0.185,APUS12A72610
2012,M03,March,0.186,APUS12A72610
2012,M02,February,0.186,APUS12A72610
2012,M01,January,0.189,APUS12A72610
2011,M12,December,0.184,APUS12A72610
2011,M11,November,0.188,APUS12A72610
2011,M10,October,0.191,APUS12A72610
2011,M09,September,0.205,APUS12A72610
2011,M08,August,0.200,APUS12A72610
2011,M07,July,0.210,APUS12A72610
2011,M06,June,0.204,APUS12A72610
2011,M05,May,0.197,APUS12A72610
2011,M04,April,0.189,APUS12A72610
2011,M03,March,0.192,APUS12A72610
2011,M02,February,0.191,APUS12A72610
2011,M01,January,0.193,APUS12A72610
2010,M12,December,0.198,APUS12A72610
2010,M11,November,0.196,APUS12A72610
2010,M10,October,0.194,APUS12A72610
2010,M09,September,0.204,APUS12A72610
2010,M08,August,0.204,APUS12A72610
2010,M07,July,0.208,APUS12A72610
2010,M06,June,0.207,APUS12A72610
2010,M05,May,0.203,APUS12A72610
2010,M04,April,0.207,APUS12A72610
2010,M03,March,0.199,APUS12A72610
2010,M02,February,0.196,APUS12A72610
2010,M01,January,0.194,APUS12A72610
2009,M12,December,0.193,APUS12A72610
2009,M11,November,0.195,APUS12A72610
2009,M10,October,0.195,APUS12A72610
2009,M09,September,0.210,APUS12A72610
2009,M08,August,0.206,APUS12A72610
2009,M07,July,0.212,APUS12A72610
2009,M06,June,0.210,APUS12A72610
2009,M05,May,0.188,APUS12A72610
2009,M04,April,0.186,APUS12A72610
2009,M03,March,0.189,APUS12A72610
2009,M02,February,0.186,APUS12A72610
2009,M01,January,0.192,APUS12A72610
2008,M12,December,0.186,APUS12A72610
2008,M11,November,0.170,APUS12A72610
2008,M10,October,0.182,APUS12A72610
2008,M09,September,0.202,APUS12A72610
2008,M08,August,0.235,APUS12A72610
2008,M07,July,0.218,APUS12A72610
2008,M06,June,0.209,APUS12A72610
2008,M05,May,0.182,APUS12A72610
2008,M04,April,0.180,APUS12A72610
2008,M03,March,0.176,APUS12A72610
2008,M02,February,0.183,APUS12A72610
2008,M01,January,0.183,APUS12A72610
2007,M12,December,0.174,APUS12A72610
2007,M11,November,0.172,APUS12A72610
2007,M10,October,0.175,APUS12A72610
2007,M09,September,0.187,APUS12A72610
2007,M08,August,0.191,APUS12A72610
2007,M07,July,0.199,APUS12A72610
2007,M06,June,0.199,APUS12A72610
2007,M05,May,0.176,APUS12A72610
2007,M04,April,0.168,APUS12A72610
2007,M03,March,0.169,APUS12A72610
2007,M02,February,0.164,APUS12A72610
2007,M01,January,0.168,APUS12A72610
2006,M12,December,0.162,APUS12A72610
2006,M11,November,0.153,APUS12A72610
2006,M10,October,0.161,APUS12A72610
2006,M09,September,0.182,APUS12A72610
2006,M08,August,0.184,APUS12A72610
2006,M07,July,0.185,APUS12A72610
2006,M06,June,0.183,APUS12A72610
2006,M05,May,0.151,APUS12A72610
2006,M04,April,0.149,APUS12A72610
2006,M03,March,0.151,APUS12A72610
2006,M02,February,0.150,APUS12A72610
2006,M01,January,0.169,APUS12A72610
2005,M12,December,0.160,APUS12A72610
2005,M11,November,0.170,APUS12A72610
2005,M10,October,0.166,APUS12A72610
2005,M09,September,0.169,APUS12A72610
2005,M08,August,0.167,APUS12A72610
2005,M07,July,0.167,APUS12A72610
2005,M06,June,0.162,APUS12A72610
2005,M05,May,0.145,APUS12A72610
2005,M04,April,0.141,APUS12A72610
2005,M03,March,0.138,APUS12A72610
2005,M02,February,0.140,APUS12A72610
2005,M01,January,0.141,APUS12A72610
2004,M12,December,0.134,APUS12A72610
2004,M11,November,0.136,APUS12A72610
2004,M10,October,0.134,APUS12A72610
2004,M09,September,0.149,APUS12A72610
2004,M08,August,0.155,APUS12A72610
2004,M07,July,0.159,APUS12A72610
2004,M06,June,0.154,APUS12A72610
2004,M05,May,0.135,APUS12A72610
2004,M04,April,0.133,APUS12A72610
2004,M03,March,0.132,APUS12A72610
2004,M02,February,0.141,APUS12A72610
2004,M01,January,0.133,APUS12A72610
2017,M12,December,0.187,APUA42172610
2017,M11,November,0.186,APUA42172610
2017,M10,October,0.187,APUA42172610
2017,M09,September,0.178,APUA42172610
2017,M08,August,0.178,APUA42172610
2017,M07,July,0.178,APUA42172610
2017,M06,June,0.178,APUA42172610
2017,M05,May,0.186,APUA42172610
2017,M04,April,0.186,APUA42172610
2017,M03,March,0.184,APUA42172610
2017,M02,February,0.184,APUA42172610
2017,M01,January,0.184,APUA42172610
2016,M12,December,0.190,APUA42172610
2016,M11,November,0.190,APUA42172610
2016,M10,October,0.222,APUA42172610
2016,M09,September,0.210,APUA42172610
2016,M08,August,0.210,APUA42172610
2016,M07,July,0.210,APUA42172610
2016,M06,June,0.210,APUA42172610
2016,M05,May,0.211,APUA42172610
2016,M04,April,0.211,APUA42172610
2016,M03,March,0.213,APUA42172610
2016,M02,February,0.213,APUA42172610
2016,M01,January,0.213,APUA42172610
2015,M12,December,0.209,APUA42172610
2015,M11,November,0.213,APUA42172610
2015,M10,October,0.213,APUA42172610
2015,M09,September,0.205,APUA42172610
2015,M08,August,0.205,APUA42172610
2015,M07,July,0.206,APUA42172610
2015,M06,June,0.206,APUA42172610
2015,M05,May,0.217,APUA42172610
2015,M04,April,0.217,APUA42172610
2015,M03,March,0.215,APUA42172610
2015,M02,February,0.216,APUA42172610
2015,M01,January,0.216,APUA42172610
2014,M12,December,0.223,APUA42172610
2014,M11,November,0.223,APUA42172610
2014,M10,October,0.223,APUA42172610
2014,M09,September,0.216,APUA42172610
2014,M08,August,0.215,APUA42172610
2014,M07,July,0.215,APUA42172610
2014,M06,June,0.224,APUA42172610
2014,M05,May,0.215,APUA42172610
2014,M04,April,0.178,APUA42172610
2014,M03,March,0.215,APUA42172610
2014,M02,February,0.215,APUA42172610
2014,M01,January,0.215,APUA42172610
2013,M12,December,0.220,APUA42172610
2013,M11,November,0.215,APUA42172610
2013,M10,October,0.215,APUA42172610
2013,M09,September,0.203,APUA42172610
2013,M08,August,0.203,APUA42172610
2013,M07,July,0.203,APUA42172610
2013,M06,June,0.203,APUA42172610
2013,M05,May,0.216,APUA42172610
2013,M04,April,0.216,APUA42172610
2013,M03,March,0.232,APUA42172610
2013,M02,February,0.232,APUA42172610
2013,M01,January,0.232,APUA42172610
2012,M12,December,0.211,APUA42172610
2012,M11,November,0.211,APUA42172610
2012,M10,October,0.211,APUA42172610
2012,M09,September,0.193,APUA42172610
2012,M08,August,0.193,APUA42172610
2012,M07,July,0.193,APUA42172610
2012,M06,June,0.193,APUA42172610
2012,M05,May,0.204,APUA42172610
2012,M04,April,0.204,APUA42172610
2012,M03,March,0.204,APUA42172610
2012,M02,February,0.204,APUA42172610
2012,M01,January,0.204,APUA42172610
2011,M12,December,0.204,APUA42172610
2011,M11,November,0.204,APUA42172610
2011,M10,October,0.199,APUA42172610
2011,M09,September,0.186,APUA42172610
2011,M08,August,0.186,APUA42172610
2011,M07,July,0.185,APUA42172610
2011,M06,June,0.184,APUA42172610
2011,M05,May,0.206,APUA42172610
2011,M04,April,0.206,APUA42172610
2011,M03,March,0.207,APUA42172610
2011,M02,February,0.206,APUA42172610
2011,M01,January,0.206,APUA42172610
2010,M12,December,0.203,APUA42172610
2010,M11,November,0.202,APUA42172610
2010,M10,October,0.205,APUA42172610
2010,M09,September,0.191,APUA42172610
2010,M08,August,0.190,APUA42172610
2010,M07,July,0.192,APUA42172610
2010,M06,June,0.190,APUA42172610
2010,M05,May,0.203,APUA42172610
2010,M04,April,0.201,APUA42172610
2010,M03,March,0.204,APUA42172610
2010,M02,February,0.188,APUA42172610
2010,M01,January,0.187,APUA42172610
2009,M12,December,0.198,APUA42172610
2009,M11,November,0.197,APUA42172610
2009,M10,October,0.199,APUA42172610
2009,M09,September,0.182,APUA42172610
2009,M08,August,0.183,APUA42172610
2009,M07,July,0.184,APUA42172610
2009,M06,June,0.185,APUA42172610
2009,M05,May,0.193,APUA42172610
2009,M04,April,0.180,APUA42172610
2009,M03,March,0.179,APUA42172610
2009,M02,February,0.179,APUA42172610
2009,M01,January,0.179,APUA42172610
2008,M12,December,0.180,APUA42172610
2008,M11,November,0.183,APUA42172610
2008,M10,October,0.182,APUA42172610
2008,M09,September,0.172,APUA42172610
2008,M08,August,0.172,APUA42172610
2008,M07,July,0.173,APUA42172610
2008,M06,June,0.172,APUA42172610
2008,M05,May,0.185,APUA42172610
2008,M04,April,0.186,APUA42172610
2008,M03,March,0.186,APUA42172610
2008,M02,February,0.185,APUA42172610
2008,M01,January,0.185,APUA42172610
2007,M12,December,0.188,APUA42172610
2007,M11,November,0.188,APUA42172610
2007,M10,October,0.177,APUA42172610
2007,M09,September,0.177,APUA42172610
2007,M08,August,0.176,APUA42172610
2007,M07,July,0.176,APUA42172610
2007,M06,June,0.178,APUA42172610
2007,M05,May,0.190,APUA42172610
2007,M04,April,0.192,APUA42172610
2007,M03,March,0.188,APUA42172610
2007,M02,February,0.198,APUA42172610
2007,M01,January,0.197,APUA42172610
2006,M12,December,0.197,APUA42172610
2006,M11,November,0.199,APUA42172610
2006,M10,October,0.200,APUA42172610
2006,M09,September,0.187,APUA42172610
2006,M08,August,0.190,APUA42172610
2006,M07,July,0.190,APUA42172610
2006,M06,June,0.191,APUA42172610
2006,M05,May,0.197,APUA42172610
2006,M04,April,0.194,APUA42172610
2006,M03,March,0.195,APUA42172610
2006,M02,February,0.194,APUA42172610
2006,M01,January,0.164,APUA42172610
2005,M12,December,0.148,APUA42172610
2005,M11,November,0.148,APUA42172610
2005,M10,October,0.148,APUA42172610
2005,M09,September,0.144,APUA42172610
2005,M08,August,0.145,APUA42172610
2005,M07,July,0.143,APUA42172610
2005,M06,June,0.145,APUA42172610
2005,M05,May,0.146,APUA42172610
2005,M04,April,0.134,APUA42172610
2005,M03,March,0.136,APUA42172610
2005,M02,February,0.136,APUA42172610
2005,M01,January,0.139,APUA42172610
2004,M12,December,0.137,APUA42172610
2004,M11,November,0.136,APUA42172610
2004,M10,October,0.133,APUA42172610
2004,M09,September,0.134,APUA42172610
2004,M08,August,0.134,APUA42172610
2004,M07,July,0.129,APUA42172610
2004,M06,June,0.131,APUA42172610
2004,M05,May,0.133,APUA42172610
2004,M04,April,0.133,APUA42172610
2004,M03,March,0.133,APUA42172610
2004,M02,February,0.133,APUA42172610
2004,M01,January,0.136,APUA42172610
2023,M05,May,0.178,APUS23A72610
2023,M04,April,0.180,APUS23A72610
2023,M03,March,0.179,APUS23A72610
2023,M02,February,0.156,APUS23A72610
2023,M01,January,0.151,APUS23A72610
2022,M12,December,0.148,APUS23A72610
2022,M11,November,0.133,APUS23A72610
2022,M10,October,0.132,APUS23A72610
2022,M09,September,0.149,APUS23A72610
2022,M08,August,0.149,APUS23A72610
2022,M07,July,0.147,APUS23A72610
2022,M06,June,0.146,APUS23A72610
2022,M05,May,0.159,APUS23A72610
2022,M04,April,0.157,APUS23A72610
2022,M03,March,0.160,APUS23A72610
2022,M02,February,0.160,APUS23A72610
2022,M01,January,0.153,APUS23A72610
2021,M12,December,0.146,APUS23A72610
2021,M11,November,0.146,APUS23A72610
2021,M10,October,0.143,APUS23A72610
2021,M09,September,0.144,APUS23A72610
2021,M08,August,0.148,APUS23A72610
2021,M07,July,0.147,APUS23A72610
2021,M06,June,0.143,APUS23A72610
2021,M05,May,0.146,APUS23A72610
2021,M04,April,0.143,APUS23A72610
2021,M03,March,0.148,APUS23A72610
2021,M02,February,0.141,APUS23A72610
2021,M01,January,0.140,APUS23A72610
2020,M12,December,0.141,APUS23A72610
2020,M11,November,0.141,APUS23A72610
2020,M10,October,0.142,APUS23A72610
2020,M09,September,0.142,APUS23A72610
2020,M08,August,0.146,APUS23A72610
2020,M07,July,0.145,APUS23A72610
2020,M06,June,0.143,APUS23A72610
2020,M05,May,0.150,APUS23A72610
2020,M04,April,0.144,APUS23A72610
2020,M03,March,0.143,APUS23A72610
2020,M02,February,0.149,APUS23A72610
2020,M01,January,0.145,APUS23A72610
2019,M12,December,0.141,APUS23A72610
2019,M11,November,0.141,APUS23A72610
2019,M10,October,0.166,APUS23A72610
2019,M09,September,0.161,APUS23A72610
2019,M08,August,0.164,APUS23A72610
2019,M07,July,0.157,APUS23A72610
2019,M06,June,0.161,APUS23A72610
2019,M05,May,0.161,APUS23A72610
2019,M04,April,0.165,APUS23A72610
2019,M03,March,0.161,APUS23A72610
2019,M02,February,0.161,APUS23A72610
2019,M01,January,0.161,APUS23A72610
2018,M12,December,0.156,APUS23A72610
2018,M11,November,0.156,APUS23A72610
2018,M10,October,0.156,APUS23A72610
2018,M09,September,0.157,APUS23A72610
2018,M08,August,0.160,APUS23A72610
2018,M07,July,0.158,APUS23A72610
2018,M06,June,0.160,APUS23A72610
2018,M05,May,0.156,APUS23A72610
2018,M04,April,0.155,APUS23A72610
2018,M03,March,0.157,APUS23A72610
2018,M02,February,0.162,APUS23A72610
2018,M01,January,0.162,APUS23A72610
2017,M12,December,0.158,APUS23A72610
2017,M11,November,0.158,APUS23A72610
2017,M10,October,0.136,APUS23A72610
2017,M09,September,0.161,APUS23A72610
2017,M08,August,0.161,APUS23A72610
2017,M07,July,0.160,APUS23A72610
2017,M06,June,0.161,APUS23A72610
2017,M05,May,0.150,APUS23A72610
2017,M04,April,0.151,APUS23A72610
2017,M03,March,0.154,APUS23A72610
2017,M02,February,0.152,APUS23A72610
2017,M01,January,0.152,APUS23A72610
2016,M12,December,0.148,APUS23A72610
2016,M11,November,0.148,APUS23A72610
2016,M10,October,0.148,APUS23A72610
2016,M09,September,0.151,APUS23A72610
2016,M08,August,0.151,APUS23A72610
2016,M07,July,0.153,APUS23A72610
2016,M06,June,0.151,APUS23A72610
2016,M05,May,0.155,APUS23A72610
2016,M04,April,0.154,APUS23A72610
2016,M03,March,0.154,APUS23A72610
2016,M02,February,0.153,APUS23A72610
2016,M01,January,0.153,APUS23A72610
2015,M12,December,0.156,APUS23A72610
2015,M11,November,0.158,APUS23A72610
2015,M10,October,0.158,APUS23A72610
2015,M09,September,0.157,APUS23A72610
2015,M08,August,0.161,APUS23A72610
2015,M07,July,0.160,APUS23A72610
2015,M06,June,0.161,APUS23A72610
2015,M05,May,0.176,APUS23A72610
2015,M04,April,0.175,APUS23A72610
2015,M03,March,0.172,APUS23A72610
2015,M02,February,0.172,APUS23A72610
2015,M01,January,0.172,APUS23A72610
2014,M12,December,0.167,APUS23A72610
2014,M11,November,0.149,APUS23A72610
2014,M10,October,0.167,APUS23A72610
2014,M09,September,0.164,APUS23A72610
2014,M08,August,0.162,APUS23A72610
2014,M07,July,0.160,APUS23A72610
2014,M06,June,0.161,APUS23A72610
2014,M05,May,0.139,APUS23A72610
2014,M04,April,0.139,APUS23A72610
2014,M03,March,0.138,APUS23A72610
2014,M02,February,0.138,APUS23A72610
2014,M01,January,0.138,APUS23A72610
2013,M12,December,0.125,APUS23A72610
2013,M11,November,0.125,APUS23A72610
2013,M10,October,0.125,APUS23A72610
2013,M09,September,0.126,APUS23A72610
2013,M08,August,0.126,APUS23A72610
2013,M07,July,0.125,APUS23A72610
2013,M06,June,0.124,APUS23A72610
2013,M05,May,0.131,APUS23A72610
2013,M04,April,0.131,APUS23A72610
2013,M03,March,0.148,APUS23A72610
2013,M02,February,0.158,APUS23A72610
2013,M01,January,0.152,APUS23A72610
2012,M12,December,0.152,APUS23A72610
2012,M11,November,0.156,APUS23A72610
2012,M10,October,0.155,APUS23A72610
2012,M09,September,0.142,APUS23A72610
2012,M08,August,0.142,APUS23A72610
2012,M07,July,0.142,APUS23A72610
2012,M06,June,0.148,APUS23A72610
2012,M05,May,0.153,APUS23A72610
2012,M04,April,0.153,APUS23A72610
2012,M03,March,0.153,APUS23A72610
2012,M02,February,0.153,APUS23A72610
2012,M01,January,0.153,APUS23A72610
2011,M12,December,0.147,APUS23A72610
2011,M11,November,0.150,APUS23A72610
2011,M10,October,0.154,APUS23A72610
2011,M09,September,0.156,APUS23A72610
2011,M08,August,0.157,APUS23A72610
2011,M07,July,0.157,APUS23A72610
2011,M06,June,0.153,APUS23A72610
2011,M05,May,0.148,APUS23A72610
2011,M04,April,0.152,APUS23A72610
2011,M03,March,0.153,APUS23A72610
2011,M02,February,0.149,APUS23A72610
2011,M01,January,0.142,APUS23A72610
2010,M12,December,0.144,APUS23A72610
2010,M11,November,0.145,APUS23A72610
2010,M10,October,0.145,APUS23A72610
2010,M09,September,0.158,APUS23A72610
2010,M08,August,0.158,APUS23A72610
2010,M07,July,0.159,APUS23A72610
2010,M06,June,0.154,APUS23A72610
2010,M05,May,0.138,APUS23A72610
2010,M04,April,0.137,APUS23A72610
2010,M03,March,0.139,APUS23A72610
2010,M02,February,0.139,APUS23A72610
2010,M01,January,0.136,APUS23A72610
2009,M12,December,0.134,APUS23A72610
2009,M11,November,0.139,APUS23A72610
2009,M10,October,0.135,APUS23A72610
2009,M09,September,0.141,APUS23A72610
2009,M08,August,0.137,APUS23A72610
2009,M07,July,0.137,APUS23A72610
2009,M06,June,0.138,APUS23A72610
2009,M05,May,0.144,APUS23A72610
2009,M04,April,0.145,APUS23A72610
2009,M03,March,0.145,APUS23A72610
2009,M02,February,0.147,APUS23A72610
2009,M01,January,0.145,APUS23A72610
2008,M12,December,0.145,APUS23A72610
2008,M11,November,0.147,APUS23A72610
2008,M10,October,0.145,APUS23A72610
2008,M09,September,0.146,APUS23A72610
2008,M08,August,0.139,APUS23A72610
2008,M07,July,0.141,APUS23A72610
2008,M06,June,0.140,APUS23A72610
2008,M05,May,0.132,APUS23A72610
2008,M04,April,0.133,APUS23A72610
2008,M03,March,0.129,APUS23A72610
2008,M02,February,0.129,APUS23A72610
2008,M01,January,0.127,APUS23A72610
2007,M12,December,0.129,APUS23A72610
2007,M11,November,0.128,APUS23A72610
2007,M10,October,0.134,APUS23A72610
2007,M09,September,0.137,APUS23A72610
2007,M08,August,0.137,APUS23A72610
2007,M07,July,0.130,APUS23A72610
2007,M06,June,0.131,APUS23A72610
2007,M05,May,0.129,APUS23A72610
2007,M04,April,0.133,APUS23A72610
2007,M03,March,0.125,APUS23A72610
2007,M02,February,0.129,APUS23A72610
2007,M01,January,0.128,APUS23A72610
2006,M12,December,0.101,APUS23A72610
2006,M11,November,0.101,APUS23A72610
2006,M10,October,0.101,APUS23A72610
2006,M09,September,0.109,APUS23A72610
2006,M08,August,0.108,APUS23A72610
2006,M07,July,0.109,APUS23A72610
2006,M06,June,0.109,APUS23A72610
2006,M05,May,0.101,APUS23A72610
2006,M04,April,0.101,APUS23A72610
2006,M03,March,0.101,APUS23A72610
2006,M02,February,0.101,APUS23A72610
2006,M01,January,0.101,APUS23A72610
2005,M12,December,0.101,APUS23A72610
2005,M11,November,0.101,APUS23A72610
2005,M10,October,0.101,APUS23A72610
2005,M09,September,0.108,APUS23A72610
2005,M08,August,0.108,APUS23A72610
2005,M07,July,0.108,APUS23A72610
2005,M06,June,0.108,APUS23A72610
2005,M05,May,0.101,APUS23A72610
2005,M04,April,0.101,APUS23A72610
2005,M03,March,0.101,APUS23A72610
2005,M02,February,0.101,APUS23A72610
2005,M01,January,0.101,APUS23A72610
2004,M12,December,0.101,APUS23A72610
2004,M11,November,0.101,APUS23A72610
2004,M10,October,0.101,APUS23A72610
2004,M09,September,0.109,APUS23A72610
2004,M08,August,0.109,APUS23A72610
2004,M07,July,0.109,APUS23A72610
2004,M06,June,0.109,APUS23A72610
2004,M05,May,0.101,APUS23A72610
2004,M04,April,0.101,APUS23A72610
2004,M03,March,0.101,APUS23A72610
2004,M02,February,0.101,APUS23A72610
2004,M01,January,0.101,APUS23A72610
2023,M05,May,0.152,APUS37B72610
2023,M04,April,0.152,APUS37B72610
2023,M03,March,0.161,APUS37B72610
2023,M02,February,0.181,APUS37B72610
2023,M01,January,0.181,APUS37B72610
2022,M12,December,0.190,APUS37B72610
2022,M11,November,0.182,APUS37B72610
2022,M10,October,0.207,APUS37B72610
2022,M09,September,0.241,APUS37B72610
2022,M08,August,0.257,APUS37B72610
2022,M07,July,0.258,APUS37B72610
2022,M05,May,0.188,APUS37B72610
2022,M03,March,0.141,APUS37B72610
2022,M02,February,0.148,APUS37B72610
2022,M01,January,0.138,APUS37B72610
2021,M12,December,0.156,APUS37B72610
2021,M11,November,0.156,APUS37B72610
2021,M09,September,0.157,APUS37B72610
2021,M08,August,0.152,APUS37B72610
2021,M07,July,0.147,APUS37B72610
2021,M06,June,0.138,APUS37B72610
2021,M05,May,0.138,APUS37B72610
2021,M04,April,0.141,APUS37B72610
2021,M03,March,0.144,APUS37B72610
2021,M02,February,0.143,APUS37B72610
2021,M01,January,0.139,APUS37B72610
2020,M12,December,0.144,APUS37B72610
2020,M11,November,0.145,APUS37B72610
2020,M10,October,0.133,APUS37B72610
2020,M09,September,0.139,APUS37B72610
2020,M08,August,0.125,APUS37B72610
2020,M07,July,0.121,APUS37B72610
2020,M06,June,0.123,APUS37B72610
2020,M05,May,0.124,APUS37B72610
2020,M04,April,0.121,APUS37B72610
2020,M03,March,0.114,APUS37B72610
2020,M02,February,0.119,APUS37B72610
2020,M01,January,0.123,APUS37B72610
2019,M12,December,0.127,APUS37B72610
2019,M11,November,0.129,APUS37B72610
2019,M10,October,0.127,APUS37B72610
2019,M09,September,0.124,APUS37B72610
2019,M08,August,0.118,APUS37B72610
2019,M07,July,0.122,APUS37B72610
2019,M06,June,0.127,APUS37B72610
2019,M05,May,0.126,APUS37B72610
2019,M04,April,0.128,APUS37B72610
2019,M03,March,0.130,APUS37B72610
2019,M02,February,0.135,APUS37B72610
2019,M01,January,0.144,APUS37B72610
2018,M12,December,0.157,APUS37B72610
2018,M11,November,0.138,APUS37B72610
2018,M10,October,0.138,APUS37B72610
2018,M09,September,0.127,APUS37B72610
2018,M08,August,0.123,APUS37B72610
2018,M07,July,0.125,APUS37B72610
2018,M06,June,0.126,APUS37B72610
2018,M05,May,0.125,APUS37B72610
2018,M04,April,0.119,APUS37B72610
2018,M03,March,0.118,APUS37B72610
2018,M02,February,0.137,APUS37B72610
2018,M01,January,0.124,APUS37B72610
2017,M12,December,0.129,APUS37B72610
2017,M11,November,0.122,APUS37B72610
2017,M10,October,0.126,APUS37B72610
2017,M09,September,0.112,APUS37B72610
2017,M08,August,0.108,APUS37B72610
2017,M07,July,0.110,APUS37B72610
2017,M06,June,0.112,APUS37B72610
2017,M05,May,0.111,APUS37B72610
2017,M04,April,0.111,APUS37B72610
2017,M03,March,0.103,APUS37B72610
2017,M02,February,0.117,APUS37B72610
